country,it_adoption_year_roger2010,it_adoption_year_hammond2012,reconciliation_note,source_primary
Australia,1993,1993,match,Roger2010_IMF_WP_10_8
Brazil,1999,1999,match,Roger2010_IMF_WP_10_8
Canada,1991,1991,match,Roger2010_IMF_WP_10_8
Chile,1991,1991,match,Roger2010_IMF_WP_10_8
Colombia,1999,1999,match,Roger2010_IMF_WP_10_8
Czech Republic,1998,1998,match,Roger2010_IMF_WP_10_8
Ghana,2007,2007,match,Roger2010_IMF_WP_10_8
Guatemala,2005,2005,match,Roger2010_IMF_WP_10_8
Hungary,2001,2001,match,Roger2010_IMF_WP_10_8
Iceland,2001,2001,match,Roger2010_IMF_WP_10_8
Indonesia,2005,2005,match,Roger2010_IMF_WP_10_8
Israel,1992,1992,match,Roger2010_IMF_WP_10_8
Korea,1998,1998,match,Roger2010_IMF_WP_10_8
Mexico,2001,2001,match,Roger2010_IMF_WP_10_8
New Zealand,1990,1990,match,Roger2010_IMF_WP_10_8
Norway,2001,2001,match,Roger2010_IMF_WP_10_8
Peru,2002,2002,match,Roger2010_IMF_WP_10_8
Philippines,2002,2002,match,Roger2010_IMF_WP_10_8
Poland,1999,1999,match,Roger2010_IMF_WP_10_8
Romania,2005,2005,match,Roger2010_IMF_WP_10_8
Serbia,2009,2009,match,Roger2010_IMF_WP_10_8
South Africa,2000,2000,match,Roger2010_IMF_WP_10_8
Sweden,1993,1993,match,Roger2010_IMF_WP_10_8
Switzerland,2000,2000,match,Roger2010_IMF_WP_10_8
Thailand,2000,2000,match,Roger2010_IMF_WP_10_8
Turkey,2006,2006,match,Roger2010_IMF_WP_10_8
United Kingdom,1992,1992,hammond_alt_1993,Roger2010_IMF_WP_10_8
