term,coef,p_value
Intercept,0.08506373998965243,0.0
evt_-5,0.1222444144889558,0.41253157281831165
evt_-4,0.01341330927221534,0.7050050199212392
evt_-3,0.002460406782282588,0.8739000493784519
evt_-2,-0.00037579353759301397,0.9683986988322315
evt_0,0.0031001115355701694,0.7465391070099157
evt_1,-0.018339768928586943,0.18118952129133326
evt_2,-0.015860116567680924,0.3524287098322856
evt_3,-0.016048895861071378,0.28925060178031115
evt_4,-0.002510102047660313,0.8689564258720277
evt_5,0.009980016496268205,0.5293327127204015
