country,m2_growth,inflation,gdp_growth,n_obs
Albania,0.10759387956789837,0.04389329033357385,0.042231938659672334,30
Algeria,0.12786226392117211,0.0761359057420805,0.02621560930514185,34
Armenia,0.24552025659363272,0.1877389305898657,0.057588075557327235,31
Australia,0.08127352530101853,0.025919589884721792,0.02866271001861077,34
Azerbaijan,0.3164490557084037,0.2700443243514584,0.041632231072386866,32
"Bahamas, The",0.06413878141163118,0.02198268922592329,0.0125872893651132,32
Bangladesh,0.13677259787163132,0.061615979645320944,0.05448178420749601,34
Belize,0.07906130710467608,0.01871421223836432,0.03671596117738069,34
Benin,0.0948520960099449,0.035777033577922696,0.04707757192041868,32
Bhutan,0.15963154360663126,0.0635931142870978,0.05282247390320944,33
Bolivia,0.12040947587538584,0.054048821487185164,0.033814696334094736,34
Botswana,0.12683631201202528,0.07343350941852005,0.03525821821316521,34
Brazil,0.4464120544667937,0.36557046875172233,0.02333926213705053,34
Bulgaria,0.22475437208486518,0.20942201985006825,0.018587036489990556,33
Burkina Faso,0.10748494625528575,0.030201563301370374,0.05226622901511114,34
Burundi,0.1561935234491268,0.10354169534969006,0.016759889629265144,33
Cabo Verde,0.10488619684545092,0.02883964162463298,0.05905729285039036,34
Cambodia,0.20736272179039864,0.040119869580340264,0.06976056364026204,30
Central African Republic,0.06461238300667392,0.03841963078858224,0.009662793663886855,32
Chad,0.09873455826790745,0.03325592711549301,0.046599156322785794,31
Chile,0.12142652093223075,0.05237587909569787,0.04116369865146366,34
China,0.15713334461690187,0.0349085125680284,0.08460838651152024,34
Colombia,0.14155464213260696,0.08938070630833822,0.03243598055407749,34
"Congo, Rep.",0.0912414144933203,0.03763335219016204,0.01873625442254323,31
Costa Rica,0.13846551716230077,0.08285595934158502,0.04111496179131959,34
Cote d'Ivoire,0.09278283768056157,0.035062218583638775,0.0356737456940065,34
Czechia,0.07445984340768552,0.04019770690138649,0.023320828157867932,31
Denmark,0.03896956079076651,0.019268447134335422,0.017247872180925272,34
Dominica,0.04893244579076931,0.01810954836797943,0.013364864812699542,34
Dominican Republic,0.15039492330230217,0.07929153909591047,0.04896099826834299,34
Ecuador,0.10335619521777435,0.13553457647423375,0.028666005847948747,34
"Egypt, Arab Rep.",0.1455588957383711,0.10246264502781566,0.04211651802816572,34
El Salvador,0.07969276881256522,0.04083917911107269,0.024395113493174508,34
Equatorial Guinea,0.17013529117738252,0.04701444820136474,0.12111818003959086,33
Fiji,0.07368322919234854,0.032155982686206265,0.021249337401496655,33
"Gambia, The",0.1508433688101477,0.062170872316054455,0.03217806427223457,31
Ghana,0.27863660688653064,0.17610095272272946,0.05100498779585436,34
Grenada,0.06655681089475625,0.019778345503374536,0.02504203805303663,34
Guatemala,0.124329350311628,0.06723621625913337,0.03594720722470581,34
Guinea-Bissau,0.13328541257620255,0.10093759146010439,0.03377272591405079,34
Guyana,0.11054772174431197,0.04309293995222939,0.08134822746995887,30
Haiti,0.14883261974278414,0.13799414234001334,0.0072886478250734485,33
Honduras,0.14963731215283557,0.09082948903176598,0.07360411101322521,34
"Hong Kong SAR, China",0.07494921659615117,0.025104086599607917,0.029099083266404858,33
Hungary,0.11702017884930084,0.0880014158485863,0.016642438203288416,34
Iceland,0.09361453084060271,0.04306314850037667,0.025889065305329962,34
India,0.14124263533077328,0.06858681486414042,0.057658459051518576,31
Indonesia,0.1378003822304255,0.0768802183498338,0.04480399558146699,34
Israel,0.09765902881833421,0.03899735130041483,0.040768821493758656,34
Jamaica,0.13632098314437893,0.12051084212412594,0.012384170732900527,34
Japan,0.01939584612754239,0.005613484892437333,0.007996520774848394,34
Jordan,0.07400552538382171,0.03127109909213526,0.040780786533785744,34
Kazakhstan,0.27822863760070043,0.21706772830011664,0.039012010227747564,31
Kenya,0.13690588430759337,0.09972630811704167,0.03641613336228896,34
"Korea, Rep.",0.1206911035552307,0.031989617316446575,0.0450358945968881,34
Kuwait,0.05789667760867958,0.027016549934838797,0.053471749296950054,33
Libya,0.09388127237026717,0.048451580691783284,0.003639006901400119,31
"Macao SAR, China",0.09529196581016287,0.029984811423233785,0.04180368224405953,34
Madagascar,0.14657812066832632,0.10182388738444537,0.02361735863610283,34
Malawi,0.25372413792777326,0.18208054210322516,0.03717507117814615,34
Malaysia,0.10046047026284059,0.024965781578341333,0.05099475213664672,34
Maldives,0.13837574039434014,0.04147722689479199,0.05292582233205967,34
Mali,0.10511103002348861,0.02669499303679649,0.041598035358303906,34
Mauritius,0.10788799217577257,0.05124193645221263,0.03798616069708788,34
Mexico,0.13364562519050177,0.08097246173773313,0.02079900897701479,34
Moldova,0.27695851116066517,0.3099367950325054,-0.00033596450360638816,33
Mongolia,0.25332413275429316,0.15175489810323833,0.05117843721537848,32
Morocco,0.08241769340435762,0.024208927854174354,0.0348087576310919,34
Nepal,0.1583080856352094,0.06917518159336423,0.04247687103817477,34
New Zealand,0.06300795218533127,0.02313200273799261,0.027964609652415297,31
Niger,0.07913653579397043,0.02846197283945014,0.04197812466791547,34
Nigeria,0.21883241014232924,0.1630906932856085,0.037024397656146166,33
North Macedonia,0.08359473330662567,0.05528120092982779,0.02306039228008337,31
Norway,0.05877774298669783,0.02361705481706943,0.02176424233633027,34
Pakistan,0.14081958490360047,0.09022796894889419,0.038627498292125494,34
Paraguay,0.14110001154937968,0.0768435872620925,0.030372270213380907,34
Peru,0.19034834756766192,0.12081984102488502,0.041266670828864,32
Philippines,0.12303162325047774,0.050953046418983725,0.0417736898155467,32
Poland,0.14240476278989556,0.09285906128738712,0.03580510637994677,34
Qatar,0.11667028678259773,0.029308502770736114,0.06789125618846428,34
Romania,0.2805804366730074,0.26273661312613406,0.020944971482633162,34
Rwanda,0.14401230242769952,0.07096724995178448,0.06633102682778642,32
Samoa,0.07890787088568324,0.03694195532741853,0.02676013208620462,34
Senegal,0.09910231623280381,0.026707736151479828,0.03813598557776142,34
Seychelles,0.10392683171677275,0.040067072523701674,0.03510024632159599,34
Singapore,0.08163406987105566,0.015477179678923866,0.051907961696524604,30
Solomon Islands,0.11243380450055666,0.067050818089616,0.02662514380955902,34
South Africa,0.1044220525591161,0.061108163335372306,0.02002794815607624,34
St. Kitts and Nevis,0.06420171035423873,0.022899661278843495,0.027418984310145524,33
St. Lucia,0.052684030321800156,0.02261769632903985,0.017871730959902403,34
St. Vincent and the Grenadines,0.051126793343447996,0.023029695642788485,0.02391855589015051,34
Sudan,0.35333180330337133,0.32805919384102405,0.02942276110236917,30
Suriname,0.3112134076132976,0.2996440842169687,0.015098344913588605,32
Sweden,0.060058234026693864,0.020386445630301866,0.019156172131370143,34
Tanzania,0.1692131095354905,0.09820509845293753,0.04956475712902012,33
Thailand,0.08124826375428197,0.02661711429793746,0.03485621811835553,34
Togo,0.0864637675072976,0.037599951705603395,0.033734033794140146,34
Tonga,0.08696005103138012,0.04876472860199654,0.015055413265871384,33
Trinidad and Tobago,0.07542168663893799,0.04984038222093181,0.03174118654201981,34
Tunisia,0.09331050060121654,0.0450178426664039,0.030222726249771167,34
Turkiye,0.3601112880290953,0.28892757587062134,0.044434266080193886,34
Uganda,0.14919976356296338,0.05784987420629238,0.05997334155855965,31
Ukraine,0.3699179992355014,0.36246561513910863,-0.016425471992788782,32
United Kingdom,0.060581631668520194,0.0259048445177577,0.01931791668619147,34
United States,0.05645993070979599,0.02575928659830659,0.024722207067840014,34
Uruguay,0.1673196538372037,0.1445178554260513,0.026781008753013064,34
Vanuatu,0.04747313821696981,0.029878577175311956,0.024477308114568386,33
Zambia,0.23660706998439104,0.17375869175164924,0.04323101392215419,32
