spec,coef,p_value,nobs,baseline_coef,abs_drift_pct
tail_exclusion_99pct,0.12873704721297863,0.03817484422757644,4596,0.6649768179008227,0.8064037064940526
period_1991_2005,0.8969164605597129,0.0,2000,0.6649768179008227,0.34879357658071397
period_2006_2020,0.07200762944657893,0.34214177969558657,2263,0.6649768179008227,0.8917140755765137
leave_out_region::East Asia & Pacific,0.6706160986527182,0.0002467676957895737,3858,0.6649768179008227,0.008480417061300509
leave_out_region::Europe & Central Asia,0.5454365371128621,0.008669296714618913,3841,0.6649768179008227,0.1797660874334259
leave_out_region::Latin America & Caribbean ,0.6457515793778703,0.001753338942160898,3671,0.6649768179008227,0.028911140968255172
"leave_out_region::Middle East, North Africa, Afghanistan & Pakistan",0.6678797434077255,0.0002164781644127256,4093,0.6649768179008227,0.004365453695162794
leave_out_region::North America,0.6669450269668841,0.00018993524637256343,4592,0.6649768179008227,0.0029598160613696282
leave_out_region::South Asia,0.6661518561189458,0.00019024414239177112,4451,0.6649768179008227,0.0017670363635116774
leave_out_region::Sub-Saharan Africa ,0.9020621301290377,0.0,3352,0.6649768179008227,0.3565316953102789
