excluded_country,coef_m2_growth,p_value_m2_growth,nobs,delta_vs_baseline
Afghanistan,0.5779837387706556,3.1560847724154684e-06,4277,0.007364790562836454
Albania,0.5709473165530682,2.8546842580912113e-06,4266,0.0003283683452490749
Algeria,0.571031732526612,2.8673254435229723e-06,4262,0.00041278431879288036
Angola,0.5479527732021154,1.1199176611853545e-05,4267,-0.02266617500570367
Antigua and Barbuda,0.570832080053179,2.837280153711319e-06,4270,0.00021313184535987073
Armenia,0.5548962378220472,4.583531401758378e-06,4265,-0.015722710385771888
Aruba,0.5706328286179588,2.8452007980739324e-06,4263,1.3880410139721633e-05
Australia,0.5703984888698903,2.866418019609185e-06,4262,-0.00022045933792880223
Azerbaijan,0.5533656744261377,7.3807955691673754e-06,4264,-0.0172532737816814
"Bahamas, The",0.5705407513241075,2.848678067879362e-06,4262,-7.819688371157874e-05
Bahrain,0.5705244550482453,2.8736642427862336e-06,4267,-9.449315957377191e-05
Bangladesh,0.5704209696067891,2.8700413743365516e-06,4262,-0.0001979786010299911
Barbados,0.570663173013557,2.8589714409221756e-06,4265,4.422480573784693e-05
Belarus,0.5666653013400431,3.8498229149031005e-06,4266,-0.003953646867775995
Belize,0.5704786321959047,2.8481606770824897e-06,4262,-0.0001403160119144431
Benin,0.5711668149419149,2.892038716950651e-06,4264,0.0005478667340957921
Bhutan,0.5711664375587152,2.8761673211974426e-06,4262,0.0005474893508961021
Bolivia,0.571025175354762,2.866988547234328e-06,4262,0.00040622714694293904
Bosnia and Herzegovina,0.5706777103524925,2.8293821552338727e-06,4277,5.876214467337437e-05
Botswana,0.5716429633245818,2.9005655439728883e-06,4262,0.0010240151167626443
Brazil,0.5367474715164375,1.856551036172327e-05,4262,-0.033871476691381575
Brunei Darussalam,0.5709859615915625,2.853974011118865e-06,4271,0.000367013383743342
Bulgaria,0.5616181063873187,3.93384940844399e-06,4263,-0.009000841820500427
Burkina Faso,0.5713341129893481,2.9125266818308404e-06,4262,0.0007151647815289985
Burundi,0.571231336043447,2.8972539218852233e-06,4262,0.0006123878356278922
Cabo Verde,0.5712174005314349,2.839706521040597e-06,4262,0.0005984523236157724
Cambodia,0.5712513940979829,2.855793205025492e-06,4266,0.0006324458901637575
Cameroon,0.5708071227272218,2.9213968057995032e-06,4264,0.00018817451940267294
Canada,0.5720588115688271,2.940647630955695e-06,4274,0.001439863361007987
Central African Republic,0.5712585122120949,2.9164386592395175e-06,4262,0.0006395640042757833
Chad,0.5713813045638405,3.02793059137052e-06,4262,0.0007623563560213986
Chile,0.571253101015122,2.8749723364196456e-06,4262,0.0006341528073028346
China,0.5707334963376075,2.833197756402228e-06,4262,0.00011454812978839435
Colombia,0.5708321748198735,2.840358597877568e-06,4262,0.00021322661205436244
Comoros,0.5709704601885268,2.8450890325881772e-06,4272,0.0003515119807077083
"Congo, Dem. Rep.",0.5653302122683029,0.001121806742990783,4270,-0.005288735939516176
"Congo, Rep.",0.5725851552997616,3.02145260433484e-06,4263,0.0019662070919425068
Costa Rica,0.5734742079832966,3.012632587839903e-06,4262,0.0028552597754775144
Cote d'Ivoire,0.5714061657930971,2.9192446158177177e-06,4262,0.0007872175852779995
Czechia,0.5708039846839098,2.8397627453990992e-06,4265,0.00018503647609069418
