outcome,horizon,instrument,coef_m2_growth,std_error,p_value,ci_low_95,ci_high_95,nobs,first_stage_t,first_stage_F_proxy,iv_r2
gdp_growth,0,instrument_m2_external_level,-0.30099094809355253,0.23810416236297957,0.20618889682836983,-0.7676751063249925,0.1656932101378874,3535,-1.8195961639432499,3.31093019983699,-2.1698689405331533
gdp_growth,1,instrument_m2_external_level,-0.1285679488526976,0.13303797461929448,0.33384387541070626,-0.3893223791065148,0.13218648140111958,3393,-1.8210810986484642,3.3163363678546975,-0.4365047638556916
gdp_growth,2,instrument_m2_external_level,-0.15226092707432745,0.15143712104827814,0.314685064990754,-0.44907768432895256,0.1445558301802977,3252,-1.711715087033963,2.9299685391796877,-0.6659416675772059
gdp_growth,3,instrument_m2_external_level,-0.2930877185104857,0.24138184220603082,0.22466837808687434,-0.766196129234306,0.18002069221333467,3111,-1.6392213856985027,2.6870467513313194,-2.708248104410062
inflation,0,instrument_m2_external_level,1.009852398913581,0.5706138922790585,0.076766324749316,-0.1085508299533735,2.1282556277805353,3535,-1.8195961639432499,3.31093019983699,0.000818772367765952
inflation,1,instrument_m2_external_level,0.6874637837953533,0.4073840402025262,0.09150573328443623,-0.11100893500159803,1.4859365025923048,3393,-1.8210810986484642,3.3163363678546975,-0.06980342700640096
inflation,2,instrument_m2_external_level,0.6398629682397252,0.4582190317539091,0.1625901918444721,-0.2582463339979366,1.537972270477387,3252,-1.711715087033963,2.9299685391796877,-0.7921414689566046
inflation,3,instrument_m2_external_level,0.6056661807288694,0.46212957180528585,0.1899935507945072,-0.3001077800094909,1.5114401414672296,3111,-1.6392213856985027,2.6870467513313194,-1.593282060746013
gdp_growth,0,instrument_m2_l1,-0.02104965429798985,0.021254383253668324,0.32199443534231675,-0.06270824547517977,0.020608936879200068,3409,16.00273344953736,256.08747785694186,0.01490844220091081
gdp_growth,1,instrument_m2_l1,-0.022511630216401814,0.0151080705465703,0.13621370521246723,-0.05212344848767961,0.007100188054875976,3267,14.984600028133073,224.53823800312568,-0.011726146767943701
gdp_growth,2,instrument_m2_l1,-0.029026240124022783,0.013169545379948794,0.02752134250886762,-0.05483854906872242,-0.0032139311793231463,3126,14.303908182425127,204.6017892912485,-0.015973666983734702
gdp_growth,3,instrument_m2_l1,-0.017785104129161348,0.012197689641764589,0.1448208248319227,-0.04169257582701994,0.006122367568697246,2985,13.487671791491621,181.9172903549988,-0.003869496865488653
inflation,0,instrument_m2_l1,1.4978173921865996,0.3126401110912679,1.6606164716659322e-06,0.8850427744477145,2.110592009925485,3409,16.00273344953736,256.08747785694186,-1.8891095238681723
inflation,1,instrument_m2_l1,0.7497598432953188,0.15650796030768244,1.66321410688397e-06,0.44300424109226116,1.0565154454983763,3267,14.984600028133073,224.53823800312568,-0.47931322171197865
inflation,2,instrument_m2_l1,0.41098114169796013,0.12935240148971605,0.0014869377877846368,0.15745043477811665,0.6645118486178037,3126,14.303908182425127,204.6017892912485,-0.3139479057516792
inflation,3,instrument_m2_l1,0.16090108351337187,0.06257490495115853,0.010130708901379126,0.038254269809101155,0.2835478972176426,2985,13.487671791491621,181.9172903549988,-0.05086216496047369
