Country Code,Country Name (WB),region
ABW,Aruba,Latin America & Caribbean 
AFE,Africa Eastern and Southern,Aggregates
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan"
AFR,Africa,Aggregates
AFW,Africa Western and Central,Aggregates
AGO,Angola,Sub-Saharan Africa 
ALB,Albania,Europe & Central Asia
AND,Andorra,Europe & Central Asia
ARB,Arab World,Aggregates
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan"
ARG,Argentina,Latin America & Caribbean 
ARM,Armenia,Europe & Central Asia
ASM,American Samoa,East Asia & Pacific
ATG,Antigua and Barbuda,Latin America & Caribbean 
AUS,Australia,East Asia & Pacific
AUT,Austria,Europe & Central Asia
AZE,Azerbaijan,Europe & Central Asia
BDI,Burundi,Sub-Saharan Africa 
BEA,East Asia & Pacific (IBRD-only countries),Aggregates
BEC,Europe & Central Asia (IBRD-only countries),Aggregates
BEL,Belgium,Europe & Central Asia
BEN,Benin,Sub-Saharan Africa 
BFA,Burkina Faso,Sub-Saharan Africa 
BGD,Bangladesh,South Asia
BGR,Bulgaria,Europe & Central Asia
BHI,IBRD countries classified as high income,Aggregates
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan"
BHS,"Bahamas, The",Latin America & Caribbean 
BIH,Bosnia and Herzegovina,Europe & Central Asia
BLA,Latin America & the Caribbean (IBRD-only countries),Aggregates
BLR,Belarus,Europe & Central Asia
BLZ,Belize,Latin America & Caribbean 
BMN,"Middle East, North Africa, Afghanistan & Pakistan (IBRD only)",Aggregates
BMU,Bermuda,North America
BOL,Bolivia,Latin America & Caribbean 
BRA,Brazil,Latin America & Caribbean 
BRB,Barbados,Latin America & Caribbean 
BRN,Brunei Darussalam,East Asia & Pacific
BSS,Sub-Saharan Africa (IBRD-only countries),Aggregates
BTN,Bhutan,South Asia
BWA,Botswana,Sub-Saharan Africa 
CAA,Sub-Saharan Africa (IFC classification),Aggregates
CAF,Central African Republic,Sub-Saharan Africa 
CAN,Canada,North America
CEA,East Asia and the Pacific (IFC classification),Aggregates
CEB,Central Europe and the Baltics,Aggregates
CEU,Europe and Central Asia (IFC classification),Aggregates
CHE,Switzerland,Europe & Central Asia
CHI,Channel Islands,Europe & Central Asia
CHL,Chile,Latin America & Caribbean 
CHN,China,East Asia & Pacific
CIV,Cote d'Ivoire,Sub-Saharan Africa 
CLA,Latin America and the Caribbean (IFC classification),Aggregates
CME,Middle East and North Africa (IFC classification),Aggregates
CMR,Cameroon,Sub-Saharan Africa 
COD,"Congo, Dem. Rep.",Sub-Saharan Africa 
COG,"Congo, Rep.",Sub-Saharan Africa 
COL,Colombia,Latin America & Caribbean 
COM,Comoros,Sub-Saharan Africa 
CPV,Cabo Verde,Sub-Saharan Africa 
CRI,Costa Rica,Latin America & Caribbean 
CSA,South Asia (IFC classification),Aggregates
CSS,Caribbean small states,Aggregates
CUB,Cuba,Latin America & Caribbean 
CUW,Curacao,Latin America & Caribbean 
CYM,Cayman Islands,Latin America & Caribbean 
CYP,Cyprus,Europe & Central Asia
CZE,Czechia,Europe & Central Asia
DEA,East Asia & Pacific (IDA-eligible countries),Aggregates
DEC,Europe & Central Asia (IDA-eligible countries),Aggregates
DEU,Germany,Europe & Central Asia
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan"
DLA,Latin America & the Caribbean (IDA-eligible countries),Aggregates
DMA,Dominica,Latin America & Caribbean 
DMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA total)",Aggregates
DNK,Denmark,Europe & Central Asia
DNS,IDA countries in Sub-Saharan Africa not classified as fragile situations ,Aggregates
DOM,Dominican Republic,Latin America & Caribbean 
