spec,coef,p_value,nobs,baseline_coef,abs_drift_pct
tail_exclusion_99pct,0.11978645263518342,0.04011676551400689,4249,0.5706189482078189,0.7900762794305994
period_1991_2005,0.6962222033314218,3.566962503143145e-09,2006,0.5706189482078189,0.22011756798138843
period_2006_2020,0.07130566216385816,0.3189254402138819,2286,0.5706189482078189,0.8750380400303694
leave_out_region::East Asia & Pacific,0.5724238095342695,4.3674168692664495e-06,3568,0.5706189482078189,0.0031629887723134396
leave_out_region::Europe & Central Asia,0.4582821328380369,0.0004469090173058188,3565,0.5706189482078189,0.196868357986719
leave_out_region::Latin America & Caribbean ,0.5405193807829833,3.745028197355005e-05,3395,0.5706189482078189,0.05274897989169703
"leave_out_region::Middle East, North Africa, Afghanistan & Pakistan",0.5785004258969111,3.950845886002696e-06,3772,0.5706189482078189,0.013812155579211104
leave_out_region::North America,0.5718607732351196,2.9810477331082552e-06,4244,0.5706189482078189,0.00217627723579988
leave_out_region::South Asia,0.571055887836807,2.9938050833955288e-06,4113,0.5706189482078189,0.0007657292670712916
leave_out_region::Sub-Saharan Africa ,0.8775519504641172,0.0,3095,0.5706189482078189,0.5378948652516767
